Date,Close
1/3/2022,170.4
1/4/2022,167.52
1/5/2022,164.36
1/6/2022,163.25
1/7/2022,162.55
1/10/2022,161.49
1/11/2022,165.36
1/12/2022,165.21
1/13/2022,161.21
1/14/2022,162.14
1/18/2022,158.92
1/19/2022,156.3
1/20/2022,151.67
1/21/2022,142.64
1/24/2022,144.54
1/25/2022,139.99
1/26/2022,138.87
1/27/2022,139.64
1/28/2022,143.98
1/31/2022,149.57
2/1/2022,151.19
2/2/2022,150.61
2/3/2022,138.85
2/4/2022,157.64
2/7/2022,157.94
2/8/2022,161.41
2/9/2022,161.19
2/10/2022,159
2/11/2022,153.29
2/14/2022,155.17
2/15/2022,156.51
2/16/2022,158.1
2/17/2022,154.65
2/18/2022,152.6
2/22/2022,150.2
2/23/2022,144.83
2/24/2022,151.36
2/25/2022,153.79
2/28/2022,153.56
3/1/2022,151.14
3/2/2022,152.05
3/3/2022,147.9
3/4/2022,145.64
3/7/2022,137.45
3/8/2022,136.01
3/9/2022,139.28
3/10/2022,146.82
3/11/2022,145.52
3/14/2022,141.85
3/15/2022,147.37
3/16/2022,153.1
3/17/2022,157.24
3/18/2022,161.25
3/21/2022,161.49
3/22/2022,164.89
3/23/2022,163.41
3/24/2022,163.65
3/25/2022,164.77
3/28/2022,168.99
3/29/2022,169.32
3/30/2022,166.3
3/31/2022,163
4/1/2022,163.56
4/4/2022,168.35
4/5/2022,164.06
4/6/2022,158.76
4/7/2022,157.78
4/8/2022,154.46
4/11/2022,151.12
4/12/2022,150.79
4/13/2022,155.54
4/14/2022,151.71
4/18/2022,152.79
4/19/2022,158.12
4/20/2022,154
4/21/2022,148.3
4/22/2022,144.35
4/25/2022,146.07
4/26/2022,139.39
4/27/2022,138.17
4/28/2022,144.6
4/29/2022,124.28
5/2/2022,124.5
5/3/2022,124.25
5/4/2022,125.93
5/5/2022,116.41
5/6/2022,114.77
5/9/2022,108.79
5/10/2022,108.86
5/11/2022,105.37
5/12/2022,106.93
5/13/2022,113.06
5/16/2022,110.81
5/17/2022,115.37
5/18/2022,107.11
5/19/2022,107.32
5/20/2022,107.59
5/23/2022,107.56
5/24/2022,104.1
5/25/2022,106.78
5/26/2022,111.08
5/27/2022,115.15
5/31/2022,120.21
6/1/2022,121.68
6/2/2022,125.51
6/3/2022,122.35
6/6/2022,124.79
6/7/2022,123
6/8/2022,121.18
6/9/2022,116.15
6/10/2022,109.65
6/13/2022,103.67
6/14/2022,102.31
6/15/2022,107.67
6/16/2022,103.66
6/17/2022,106.22
6/21/2022,108.68
6/22/2022,108.95
6/23/2022,112.44
6/24/2022,116.46
6/27/2022,113.22
6/28/2022,107.4
6/29/2022,108.92
6/30/2022,106.21
7/1/2022,109.56
7/5/2022,113.5
7/6/2022,114.33
7/7/2022,116.33
7/8/2022,115.54
7/11/2022,111.75
7/12/2022,109.22
7/13/2022,110.4
7/14/2022,110.63
7/15/2022,113.55
7/18/2022,113.76
7/19/2022,118.21
7/20/2022,122.77
7/21/2022,124.63
7/22/2022,122.42
7/25/2022,121.14
7/26/2022,114.81
7/27/2022,120.97
7/28/2022,122.28
7/29/2022,134.95
8/1/2022,135.39
8/2/2022,134.16
8/3/2022,139.52
8/4/2022,142.57
8/5/2022,140.8
8/8/2022,139.41
8/9/2022,137.83
8/10/2022,142.69
8/11/2022,140.64
8/12/2022,143.55
8/15/2022,143.18
8/16/2022,144.78
8/17/2022,142.1
8/18/2022,142.3
8/19/2022,138.23
8/22/2022,133.22
8/23/2022,133.62
8/24/2022,133.8
8/25/2022,137.28
8/26/2022,130.75
8/29/2022,129.79
8/30/2022,128.73
8/31/2022,126.77
9/1/2022,127.82
9/2/2022,127.51
9/6/2022,126.11
9/7/2022,129.48
9/8/2022,129.82
9/9/2022,133.27
9/12/2022,136.45
9/13/2022,126.82
9/14/2022,128.55
9/15/2022,126.28
9/16/2022,123.53
9/19/2022,124.66
9/20/2022,122.19
9/21/2022,118.54
9/22/2022,117.31
9/23/2022,113.78
9/26/2022,115.15
9/27/2022,114.41
9/28/2022,118.01
9/29/2022,114.8
9/30/2022,113
10/3/2022,115.88
10/4/2022,121.09
10/5/2022,120.95
10/6/2022,120.3
10/7/2022,114.56
10/10/2022,113.67
10/11/2022,112.21
10/12/2022,112.9
10/13/2022,112.53
10/14/2022,106.9
10/17/2022,113.79
10/18/2022,116.36
10/19/2022,115.07
10/20/2022,115.25
10/21/2022,119.32
10/24/2022,119.82
10/25/2022,120.6
10/26/2022,115.66
10/27/2022,110.96
10/28/2022,103.41
10/31/2022,102.44
11/1/2022,96.79
11/2/2022,92.12
11/3/2022,89.3
11/4/2022,90.98
11/7/2022,90.53
11/8/2022,89.98
11/9/2022,86.14
11/10/2022,96.63
11/11/2022,100.79
11/14/2022,98.49
11/15/2022,98.94
11/16/2022,97.12
11/17/2022,94.85
11/18/2022,94.14
11/21/2022,92.46
11/22/2022,93.2
11/23/2022,94.13
11/25/2022,93.41
11/28/2022,93.95
11/29/2022,92.42
11/30/2022,96.54
12/1/2022,95.5
12/2/2022,94.13
12/5/2022,91.01
12/6/2022,88.25
12/7/2022,88.46
12/8/2022,90.35
12/9/2022,89.09
12/12/2022,90.55
12/13/2022,92.49
12/14/2022,91.58
12/15/2022,88.45
12/16/2022,87.86
12/19/2022,84.92
12/20/2022,85.19
12/21/2022,86.77
12/22/2022,83.79
12/23/2022,85.25
12/27/2022,83.04
12/28/2022,81.82
12/29/2022,84.18
12/30/2022,84
